marker-color,marker-size,marker-symbol,project-name,state-region,,basin,sub-basin,rivers,status,installed-capacity(MW),generation(GWh/yr),height(M),total-storage(hm),reservoir-area(hm),reservoir-length(km),retention-period(days),Type (#),Export %,stage,date-signed,foreign-developer,local-developer,country-of-foreing-developer,year,lon,lat
#ff80c0,medium,dam,Tawog Hka,Kachin,,,,,Identified Potential Site,50,NP ,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,96.52987,26.309687
#ff80c0,small,dam,Ta Nai Hka,Kachin,,,,,Identified Potential Site,15,NP ,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,96.95008,26.294175
#ff80c0,small,dam,U Yu Chaung,Sagaing,,,,,Identified Potential Site,12,NP ,NP ,NP ,NP ,NP ,NP ,NP ,NP ,,,,,,,95.294431,24.865948
#000000,small,dam,Thapanzeik,Sagaing,,,,,Existing,30,117,33,3552,39705,42.8,-,,,E,,,,MoEE/MoALI,2002,95.35833,23.305918
#ff0000,small,dam,Zedawgyi (Upper),,,,,,Planned,64,NP ,73,593,24,NP ,NP ,S ,0,MoALI,,,,,,96.20626,22.74764
#000000,small,dam,Zedawgyi,Mandalay,,Chaungmakyi,,,Existing,25,134,47,448,41,16,-,,,MoALI,,,,,1989,96.326937,22.348646
#ff0000,small,dam,Deedoke,Mandalay,,,,,Planned,77,338,27,NP ,NP ,19,NP ,NP ,0%,MoU ,20/11/14 ,Andritz Hydro ,NP ,Austria ,2020,96.404455,21.68723
#000000,medium,dam,Yeywa,Mandalay,,Myitnge,,,Existing,790,"3,550",132,"2,607",59,75,- ,,,E,,,,MoEE ,2010,96.474077,21.675196
#ff0000,medium,dam,Yeywa (Middle),Shan,,,,,Planned,700,"3,253",160,454,11,70,NP ,NP ,0%,MoU ,2/7/2014,SN Power ,NP ,Norway ,2020,96.87313,21.96024
#008080,medium,dam,Yeywa (Upper),Shan,,,,,Under Construction,280,"1,409",97,342,26.94,60,0.3,,,C,,,,MoEE,2021,97.046741,22.254093
#ff0000,medium,dam,Nam Lang,Shan,,,,,Planned,210,NP ,NP ,NP ,NP ,NP ,NP ,NP  ,0%,MoU ,9/3/2016,PCR ,SE ,PRC ,2020,97.248615,22.155565
#ff0000,small,dam,Nam Hsim,Shan,,,,,Planned,30,NP ,NP ,NP ,NP ,NP ,NP ,NP,0%,MoU ,9/4/2016,PCR ,SE ,PRC ,2021,97.124079,22.560266
#ff0000,small,dam,Nam Tu,Shan,,,,,Planned,100,410,114,NP ,NP ,4,NP ,NP ,0%,Local MoU,7/4/2014,-,NCEH,-,2021,97.319365,22.720943
#000000,small,dam,Zawgyi II,Shan,,,,,Existing,12,30,44,639,38.47,8.2,- ,,,E,,,,MoEE/ MoALI ,1998,96.8726,21.5648
#000000,small,dam,Zawgyi I,Shan,,,,,Existing,18,35,- ,- ,- ,- ,1.7,,,E,,,,MoEE ,1995,96.90147,21.3833
#000000,small,dam,Myogyi,Shan,,,,,Existing,30,136,79,444,22.72,10.7,- ,,,E,,,,MoALI ,2015,96.39144,21.46349
#000000,small,dam,Kindar,Mandalay,,Pa Laung,,,Existing,56,165,72,"1,078",28.57,13.3, ,,,,,,,MoEE ,1985,96.321037,21.160437
#ff0000,small,dam,Buywa (Upper),Magway,,,,,Planned,150,534,138,721,76,NP,-,,,,,,,MoALI,NP,94.0818,20.76609
#008080,small,dam,Buywa,Magway,,,,,Under Construction,42,NP ,46,209,38,NP,-,,,,,,,MoAL/MoEE,2018,94.150833,20.658056
#000000,small,dam,Monechaung,Magway,,,,,Existing,75,330,61,832,42,19,- ,,,,,,,MoALI ,2002,94.255325,20.479942
